8.798868846431694379e-01, 2757
6.998759474676964293e-01, 781
8.535320721358752699e-01, 782
9.864858749417047263e-01, 783
1.174983970901901766e+00, 1980
1.372382352250052823e+00, 6191
1.482287300703420564e+00, 3411
1.121182984415559455e+00, 4516
1.078668501529562963e+00, 4341
9.040440945231763428e-01, 4518
9.051000285742590267e-01, 4519
1.091581571895794553e+00, 4520
1.078028290666960352e+00, 86
1.197635875415780326e+00, 87
1.056701919809643212e+00, 5461
9.493327973819508795e-01, 2886
1.013618075196944795e+00, 665
8.997160392652801664e-01, 4352
8.919319322619436888e-01, 4353
5.460950981884358300e-01, 1939
5.902584777844044903e-01, 1940
9.784085593791217376e-01, 2626
1.615807926389902666e+00, 2873
2.065104199256549079e+00, 670
1.305054139116843679e+00, 70
6.819723462346680463e-01, 589
3.423167482352434365e-01, 3755
3.953266141220985285e-01, 261
3.453658699581460631e-01, 262
3.098911862993190834e-01, 263
5.621500940329712703e-01, 1355
5.563709601938994180e-01, 410
6.418146126677333514e-01, 1175
8.820659715046341821e-01, 1176
1.275312684077204477e+00, 5001
1.461997537405775490e+00, 13
1.615526931066276839e+00, 4363
1.527240335481756627e+00, 15
1.330727908808305906e+00, 937
1.730528439741604264e+00, 2466
1.230725767685461268e+00, 4973
9.278330854281739517e-01, 2040
7.009990750845753991e-01, 2041
7.304306478236517501e-01, 2819
7.227005730539647114e-01, 3733
8.088633995782049364e-01, 379
1.000128641584669507e+00, 380
1.069401388218614269e+00, 3331
7.550274142457541003e-01, 5888
7.190680720909289188e-01, 5889
1.121818207879337627e+00, 3290
9.009691379918851632e-01, 1025
9.215617922908993202e-01, 4239
1.235157534055735221e+00, 3158
1.105970477567269660e+00, 6201
1.038397808134783703e+00, 5328
9.979231697432543469e-01, 6203
9.413688774826553703e-01, 1113
8.738278637665685049e-01, 3990
6.259351042390587494e-01, 1847
8.318696033490751676e-01, 1848
1.639061135370160591e+00, 5844
1.113875401626711509e+00, 6065
8.235845631393576027e-01, 1921
8.345688153991443878e-01, 6067
7.420262403101296857e-01, 1500
4.278975773147012344e-01, 4107
4.359964379947010362e-01, 4108
6.603252156706857995e-01, 2286
6.127152066613262711e-01, 4720
6.606558499707088892e-01, 2484
5.524284145592932237e-01, 3755
5.631342138606849430e-01, 3415
